Program_Code,Quality,Sustainability
AC0010,6.78,6.78
AC0030,6.6,5.38
AC0060,5.08,4.79
AC0070,5.27,4.52
AC0090,5.68,5.6
AC0110,6.05,5.3
AC0100,5.53,4.7
AC0310,7.04,8.1
AC0300,6.78,7.12
AC0320,6.23,6.3
AC0190,6.34,6.17
AC0430,6.6,5.81
AC0260,6.42,5.7
AC0250,6.42,4.79
AC0370,6.05,5.71
AC0280,5.8,5.92
AC0350,5.8,5.92
AC0360,5.8,5.92
AC0390,5.79,5.68
AC0400,5.63,5.71
AC0330,5.91,5.5
AC0420,5.91,5.23
AC0270,5.44,5.9
AC0200,5.44,5.5
AC0240,5.06,6.51
AC0220,5.51,5.19
AC0460,5.61,5.12
AC0440,5.87,5.09
AC0140,5.69,4.79
AC0470,6.12,4.58
AC0450,5.8,4.58
AC0170,4.73,5.21
AC0150,5.26,5.09
AC0160,4.64,4.62
AC0130,5.1,4.29
AC0670,5.88,6.53
AC0770,5.74,6.3
AC0790,5.51,6.3
AC0630,5.93,6.19
AC0870,5.87,6.01
AC0610,5.6,5.27
AC0550,5.26,5.9
AC0700,5.08,5.92
AC0750,5.18,5.51
AC0510,4.9,5.21
AC0500,4.73,5.17
AC0860,4.92,5.07
AC0810,4.65,4.91
AC0570,4.28,4.79
AC0680,4.3,4.7
AC0580,3.83,4.7
AC0850,5.16,4.6
AC0530,4.75,4.58
AC0730,4.75,4.58
AC0650,4.27,4.1
AC0830,3.95,3.88
AC0710,4.99,3.7
AC0690,2.59,2.81
AC0590,5.42,5.08
AC0920,6.87,8.87
AC0980,7.78,8.08
AC0990,7.78,8.08
AC1060,6.43,7.41
AC0930,6.71,7.09
AC0940,6.5,7.1
AC1130,6.78,6.79
AC0960,6.5,6.76
AC0950,6.31,6.78
AC1120,6.78,6.5
AC1000,6.7,6.53
AC1030,6.25,6.19
AC1010,6.71,5.99
AC1020,6.71,5.99
AC1070,6.16,5.43
AC1050,5.2,6.69
AC1100,5,6.71
AC1110,5,6.71
AC1080,4.61,4.62
AC2480,6.42,7.88
AC2490,6.42,7.88
AC2640,6.13,6.48
AC2520,5.88,6.01
AC2530,5.88,6.01
AC2460,5.9,5.42
AC2500,5.9,5.42
AC2510,5.9,5.42
AC2550,5.47,5.41
AC2560,5.51,5.21
AC2600,5.62,4.88
AC2610,5.62,4.88
AC2470,5.85,4.5
AC2590,5.44,4.29
AC2570,5.59,3.7
AC2090,5.44,8.42
AC1390,5.44,7.81
AC2230,4.01,6.11
AC2340,7.02,5.91
AC1510,5.24,4.4
AC2940,5.24,4.4
AC1320,5.26,4.3
AC1560,5.44,4.3
AC1570,5.44,4.3
AC1440,6.85,5.09
AC1680,5.87,4.32
AC1600,6.16,4.3
AC1660,5.87,3.9
AC1260,5.88,3.8
AC2020,6.34,3.93
AC2300,5.17,4.1
AC2310,5.17,4.1
AC2040,5,4.11
AC1830,4.81,4.1
AC2250,4.38,4.3
AC1790,4.56,4.11
AC1849,4.56,4.11
AC2110,4.56,4
AC2950,4.62,4.01
AC2010,5.07,3.99
AC1280,5.25,3.79
AC1610,4.89,3.7
AC1490,4.99,3.7
AC1270,5.27,3.1
AC1760,3.95,4.37
AC2130,3.83,4.2
AC2060,4.12,3.9
AC1550,4.28,3.85
AC1850,4.56,3.5
AC1310,4.73,3.39
AC1350,4.34,3.4
AC1770,4.45,3.1
AC2150,3.72,3.4
AC2100,3.59,3.26
AC1740,3.21,3.2
AC1800,3.11,2.7
AC1820,3.22,2.7
AC2200,3.47,2.57
AC2240,3.82,2.59
AC2160,4.89,7.19
AC1480,5.18,6.92
AC1700,6.16,7.23
AC1230,6.24,7.08
AC1240,6.24,7.08
AC1710,5.44,6.9
AC2170,5.62,6.79
AC2420,5.62,6.69
AC2430,5.62,6.69
AC1380,5.35,6.59
AC1400,5.44,6.59
AC1220,5.61,6.51
AC2180,5.44,6.21
AC1300,5.87,6.22
AC2435,4.99,6.11
AC1810,5.37,6.11
AC2190,5.44,6.01
AC1180,6.34,5.91
AC1960,5.17,5.61
AC2210,5,5.51
AC1420,4.73,5.31
AC2380,5.7,5.61
AC1200,5.7,5.41
AC1890,5.63,5.32
AC1900,5.87,5.31
AC1430,4.1,4.69
AC1355,4.56,5.11
AC2030,4.57,4.89
AC1540,4.74,4.6
AC1950,4.74,4.6
AC2090,4.74,4.6
AC1920,4.99,5.01
AC1325,5.01,4.91
AC1930,5.01,4.91
AC2120,5.01,4.91
AC1290,5.18,4.88
AC1910,5.18,4.88
AC1630,5.27,4.83
AC1540,4.73,4.6
AC1950,4.73,4.6
AC2090,4.73,4.6
AC2280,4.92,4.5
AC1780,5.01,4.5
AC1970,5.16,4.59
AC2360,5.16,4.59
AC2270,5.27,4.6
AC1980,5.37,4.6
AC2260,5.44,5.21
AC1620,5.44,5.08
AC1640,5.44,5.08
AC1360,5.44,4.91
AC2400,5.44,4.91
AC1190,5.54,5.11
AC2290,5.63,5.09
AC2390,5.7,5.11
AC1750,6.15,5.11
AC1460,6.16,5.01
AC1470,6.34,5.08
AC1720,5.61,4.91
AC1370,5.7,4.92
AC2350,5.7,4.92
AC1450,5.63,4.81
AC1670,5.87,4.6
AC3360,4.44,4.7
AC2670,7.5,8.18
AC2690,6.42,5.77
AC2680,5.99,5.48
AC2760,8.26,7.79
AC2740,7.93,7.39
AC2780,6.59,7.09
AC2810,6.15,5.23
AC2840,7.75,8.49
AC2870,6.4,7.27
AC2890,6.06,7.2
AC2900,6.5,7.09
AC2920,6.41,6.54
AC2860,5.97,6.43
