"Program_Code","Program_Type","Faculty","Department","DEPARTMENT_ID","Program","Type_of_Program","Includes_Degree_Types","Author","Approver","Quality","Sustainability","Level"
"AC0010","Academic","Education","Faculty of Education",221,"Education","Undergraduate Degree","BEd","Lyndon Martin","Ron Owston",6.78,6.78,"Undergraduate"
"AC0030","Academic","Education","Faculty of Education",221,"Diploma in Teacher Preparation in the Education of Deaf and Hard-of-Hearing Students","Non-Degree Studies","Non-Degree Studies","Pam Millett","Ron Owston",6.6,5.38,"Other"
"AC0060","Academic","Education","Faculty of Education",221,"Education","Graduate Degree","MEd, GD T 2&3","Sandra Schecter","Ron Owston",5.08,4.79,"Master's"
"AC0070","Academic","Education","Faculty of Education",221,"Education","Graduate Degree","PhD, GD T 2&3","Sandra Schecter","Ron Owston",5.27,4.52,"PhD"
"AC0090","Academic","Env Studies","Faculty of Environmental Studies",222,"Environmental Studies","Degree (minor/major, certificate)","BES, Undergraduate Certificates","Gail Fraser","Noël Sturgeon",5.68,5.6,"Undergraduate"
"AC0100","Academic","Env Studies","Faculty of Environmental Studies",222,"Environmental Studies","Graduate Degree","MES","Justin Podur","Noël Sturgeon",5.53,4.7,"Master's"
"AC0110","Academic","Env Studies","Faculty of Environmental Studies",222,"Environmental Studies","Graduate Degree","PhD","Justin Podur","Noël Sturgeon",6.05,5.3,"PhD"
"AC0130","Academic","Fine Arts","Dance",801,"Dance","Degree (minor/major, certificate)","BA","Claire Wootten","Shawn Brixey",5.1,4.29,"Undergraduate"
"AC0140","Academic","Fine Arts","Dance",801,"Dance","Degree (minor/major, certificate)","BFA","Claire Wootten","Shawn Brixey",5.69,4.79,"Undergraduate"
"AC0150","Academic","Fine Arts","Dance",801,"Dance","Graduate Degree","MFA","Darcey Callison","Shawn Brixey",5.26,5.09,"Master's"
"AC0160","Academic","Fine Arts","Dance",801,"Dance","Graduate Degree","MA","Claire Wooten","Shawn Brixey",4.64,4.62,"Master's"
"AC0170","Academic","Fine Arts","Dance",801,"Dance Studies","Graduate Degree","PhD","Claire Wooten","Shawn Brixey",4.73,5.21,"PhD"
"AC0190","Academic","Fine Arts","Design",803,"Design","Degree (minor/major, certificate)","BDes","Angela Norwood","Shawn Brixey",6.34,6.17,"Undergraduate"
"AC0200","Academic","Fine Arts","Design",803,"Design","Graduate Degree","MDes","David Gelb","Shawn Brixey",5.44,5.5,"Master's"
"AC0220","Academic","Fine Arts","Digital Media",804,"Digital Media","Degree (minor/major)","BA","Don Sinclair","Shawn Brixey",5.51,5.19,"Undergraduate"
"AC0240","Academic","Fine Arts","Film",805,"Film","Degree (minor/major)","BA","John McCullough","Shawn Brixey",5.06,6.51,"Undergraduate"
"AC0250","Academic","Fine Arts","Film",805,"Film","Degree (minor/major)","BFA","John McCullough","Shawn Brixey",6.42,4.79,"Undergraduate"
"AC0260","Academic","Fine Arts","Film",805,"Film","Graduate Degree","MFA","John Greyson","Shawn Brixey",6.42,5.7,"Master's"
