Program_Type,Program_Code,Faculty,Department,DEPARTMENT_ID,Program,Type_of_Program,Includes_Degree_Types,Author,Approver
Academic,AC0010,Education,Faculty of Education,221,Education,Undergraduate Degree,BEd,Lyndon Martin,Ron Owston
Academic,AC0030,Education,Faculty of Education,221,Diploma in Teacher Preparation in the Education of Deaf and Hard-of-Hearing Students,Non-Degree Studies,Non-Degree Studies,Pam Millett,Ron Owston
Academic,AC0060,Education,Faculty of Education,221,Education,Graduate Degree,"MEd, GD T 2&3",Sandra Schecter,Ron Owston
Academic,AC0070,Education,Faculty of Education,221,Education,Graduate Degree,"PhD, GD T 2&3",Sandra Schecter,Ron Owston
Academic,AC0090,Env Studies,Faculty of Environmental Studies,222,Environmental Studies,"Degree (minor/major, certificate)","BES, Undergraduate Certificates",Gail Fraser,Noël Sturgeon
Academic,AC0100,Env Studies,Faculty of Environmental Studies,222,Environmental Studies,Graduate Degree,MES,Justin Podur,Noël Sturgeon
Academic,AC0110,Env Studies,Faculty of Environmental Studies,222,Environmental Studies,Graduate Degree,PhD,Justin Podur,Noël Sturgeon
Academic,AC0130,Fine Arts,Dance,801,Dance,"Degree (minor/major, certificate)",BA,Claire Wootten,Shawn Brixey
Academic,AC0140,Fine Arts,Dance,801,Dance,"Degree (minor/major, certificate)",BFA,Claire Wootten,Shawn Brixey
Academic,AC0150,Fine Arts,Dance,801,Dance,Graduate Degree,MFA,Darcey Callison,Shawn Brixey
Academic,AC0160,Fine Arts,Dance,801,Dance,Graduate Degree,MA,Claire Wooten,Shawn Brixey
Academic,AC0170,Fine Arts,Dance,801,Dance Studies,Graduate Degree,PhD,Claire Wooten,Shawn Brixey
Academic,AC0190,Fine Arts,Design,803,Design,"Degree (minor/major, certificate)",BDes,Angela Norwood,Shawn Brixey
Academic,AC0200,Fine Arts,Design,803,Design,Graduate Degree,MDes,David Gelb,Shawn Brixey
Academic,AC0220,Fine Arts,Digital Media,804,Digital Media,Degree (minor/major),BA,Don Sinclair,Shawn Brixey
Academic,AC0240,Fine Arts,Film,805,Film,Degree (minor/major),BA,John McCullough,Shawn Brixey
Academic,AC0250,Fine Arts,Film,805,Film,Degree (minor/major),BFA,John McCullough,Shawn Brixey
Academic,AC0260,Fine Arts,Film,805,Film,Graduate Degree,MFA,John Greyson,Shawn Brixey
Academic,AC0270,Fine Arts,Film,805,Cinema & Media Studies,Graduate Degree,MA,Brenda Longfellow,Shawn Brixey
Academic,AC0280,Fine Arts,Film,805,Cinema & Media Studies,Graduate Degree,PhD,Brenda Longfellow,Shawn Brixey
Academic,AC0300,Fine Arts,Music,806,Music,Degree (minor/major),BA,Bill Thomas,Shawn Brixey
Academic,AC0310,Fine Arts,Music,806,Music,Degree (minor/major),BFA,Bill Thomas,Shawn Brixey
Academic,AC0320,Fine Arts,Music,806,Music,Graduate Degree,MA,Michael Coghlan,Shawn Brixey
Academic,AC0330,Fine Arts,Music,806,Music,Graduate Degree,PhD,Michael Coghlan,Shawn Brixey
Academic,AC0350,Fine Arts,Theatre,16800,Theatre,Degree (minor/major),BA,Teresa Przybylski,Shawn Brixey
Academic,AC0360,Fine Arts,Theatre,16800,Theatre,Degree (minor/major),BFA,Teresa Przybylski,Shawn Brixey
Academic,AC0370,Fine Arts,Theatre,16800,Theatre,Graduate Degree,MFA,Eric Armstrong,Shawn Brixey
Academic,AC0390,Fine Arts,Theatre,16800,Theatre and Performance Studies,Graduate Degree,MA,Marlis Schweitzer,Shawn Brixey
Academic,AC0400,Fine Arts,Theatre,16800,Theatre and Performance Studies,Graduate Degree,PhD,Marlis Schweitzer,Shawn Brixey
Academic,AC0420,Fine Arts,Visual Arts,16850,Art History,Degree (minor/major),BA,Sarah Parsons,Shawn Brixey
Academic,AC0430,Fine Arts,Visual Arts,16850,Visual Arts,Degree (minor/major),BFA,Sarah Parsons,Shawn Brixey
Academic,AC0440,Fine Arts,Visual Arts,16850,Art History,Graduate Degree,MA,Sarah Parsons,Shawn Brixey
Academic,AC0450,Fine Arts,Visual Arts,16850,Art History & Visual Culture,Graduate Degree,PhD,Sarah Parsons,Shawn Brixey
Academic,AC0460,Fine Arts,Visual Arts,16850,Visual Arts,Graduate Degree,MFA,Nell Tenhaaf,Shawn Brixey
Academic,AC0470,Fine Arts,Visual Arts,16850,Visual Arts,Graduate Degree,PhD,Nell Tenhaaf,Shawn Brixey
Academic,AC0500,Glendon,Economics,17250,Business Economics,Degree (minor/major),"BA, iBA",Vincent Hildebrand,Donald Ipperciel
Academic,AC0510,Glendon,Economics,17250,Economics,Degree (minor/major),"BA, iBA",Vincent Hildebrand,Donald Ipperciel
Academic,AC0530,Glendon,English,17300,English Studies,"Degree (minor/major, certificate)","BA, iBA",Danielle Russell,Donald Ipperciel
Academic,AC0550,Glendon,French Studies,17350,French Studies,Degree (minor/major),"BA, iBA",Sylvie Rosienski,Donald Ipperciel
Academic,AC0570,Glendon,French Studies,17350,Études françaises,Graduate Degree,MA,Mario Roy,Donald Ipperciel
Academic,AC0580,Glendon,French Studies,17350,Études francophones,Graduate Degree,PhD,Mario Roy,Donald Ipperciel
Academic,AC0590,Glendon,Hispanic Studies,17900,Hispanic Studies,"Degree (minor/major, certificate)","BA, iBA",Esther Raventos-Pons,Donald Ipperciel
Academic,AC0610,Glendon,History,17400,History,Degree (minor/major),"BA, iBA",Gillian McGillivray,Donald Ipperciel
Academic,AC0630,Glendon,International Studies,17950,International Studies,Degree (minor/major),"BA, iBA",Stanislav J. Kirschbaum,Donald Ipperciel
Academic,AC0650,Glendon,Mathematics,17500,Mathematics,Degree (minor/major),"BA, iBA",David Spring,Donald Ipperciel
Academic,AC0670,Glendon,Multi Disciplinary Studies,17550,Environmental & Health Studies,Degree (minor/major),"BA, iBA",Radu Guiasu,Donald Ipperciel
Academic,AC0680,Glendon,Multi Disciplinary Studies,17550,Drama Studies,Degree (minor/major),"BA, iBA",Guillaume Bernardi,Donald Ipperciel
Academic,AC0690,Glendon,Multi Disciplinary Studies,17550,Individualized Studies,Degree (minor/major),"BA, iBA",Colin Coates,Donald Ipperciel
Academic,AC0700,Glendon,Multi Disciplinary Studies,17550,Linguistics and Languages,Degree (minor/major),BA,Ian Martin,Donald Ipperciel
Academic,AC0710,Glendon,Multi Disciplinary Studies,17550,Canadian Studies,Degree (minor/major),"BA, iBA",Geoffrey Ewen,Donald Ipperciel
Academic,AC0730,Glendon,Philosophy,17600,Philosophy,"Degree (minor/major, certificate)","BA, iBA",Doris Olin,Donald Ipperciel
Academic,AC0750,Glendon,Political Science,17650,Political science,Degree (minor/major),"BA, iBA",Ian Roberge,Donald Ipperciel
Academic,AC0770,Glendon,Psychology,17700,Psychology,Degree (minor/major),"BA, iBA",Timothy Moore,Donald Ipperciel
Academic,AC0790,Glendon,Public and International Affairs,9007,Public and International Affairs,Graduate Degree,MPIA,Michael Barutciski,Donald Ipperciel
Academic,AC0810,Glendon,Sociology,17750,Sociology,Degree (minor/major),"BA, iBA",Brian Singer,Donald Ipperciel
Academic,AC0830,Glendon,Womens Studies,18000,Gender and Women Studies,"Degree (minor/major, certificate)","BA, iBA",Gertrude Mianda,Donald Ipperciel
Academic,AC0850,Glendon,School of Translation,17800,Translation Studies,"Degree (minor/major, certificate)","BA, iBA",Marie-Christine Aubin,Donald Ipperciel
Academic,AC0860,Glendon,School of Translation,17800,Translation Studies,Graduate Degree,MA,Marie-Christine Aubin,Donald Ipperciel
Academic,AC0870,Glendon,School of Translation,17800,Conference Interpreting,Graduate Degree,MCI,Andrew Clifford,Donald Ipperciel
Research,AC0890,Glendon,Glendon,224,Centre for Research on Language Contact,ORU,,Dominique Scheffel-Dunand,Donald Ipperciel
Academic,AC0900,Health,Faculty of Health,226,Global Health,Undergradute Degree,BA,Beryl Pilkington,Harvey Skinner
Academic,AC0910,Health,Faculty of Health,226,Global Health,Undergradute Degree,BSc,Beryl Pilkington,Harvey Skinner
Academic,AC0920,Health,School of Hlth Policy&Mgmt,43200,Health Studies,"Degree (minor/major, certificate)",BHS,Lillie Lum,Harvey Skinner
Academic,AC0930,Health,School of Hlth Policy&Mgmt,43200,Health,Graduate Degree,MA,Lillie Lum,Harvey Skinner
Academic,AC0940,Health,School of Hlth Policy&Mgmt,43200,Health,Graduate Degree,PhD,Mary Wiktorowicz,Harvey Skinner
Academic,AC0950,Health,School of Hlth Policy&Mgmt,43200,Critical Disablity,Graduate Degree,MA,Lillie Lum,Harvey Skinner
Academic,AC0960,Health,School of Hlth Policy&Mgmt,43200,Critical Disablity,Graduate Degree,PhD,Mary Wiktorowicz,Harvey Skinner
