"Program_Code","Quality","Sustainability","Program_Type","Faculty","Department","DEPARTMENT_ID","Program","Type_of_Program","Includes_Degree_Types","Author","Approver","Level"
"AC0010",6.78,6.78,"Academic","Education","Faculty of Education",221,"Education","Undergraduate Degree","BEd","Lyndon Martin","Ron Owston","Bachelor"
"AC0030",6.6,5.38,"Academic","Education","Faculty of Education",221,"Diploma in Teacher Preparation in the Education of Deaf and Hard-of-Hearing Students","Non-Degree Studies","Non-Degree Studies","Pam Millett","Ron Owston","Other"
"AC0060",5.08,4.79,"Academic","Education","Faculty of Education",221,"Education","Graduate Degree","MEd, GD T 2&3","Sandra Schecter","Ron Owston","Master"
"AC0070",5.27,4.52,"Academic","Education","Faculty of Education",221,"Education","Graduate Degree","PhD, GD T 2&3","Sandra Schecter","Ron Owston","PhD"
"AC0090",5.68,5.6,"Academic","Env Studies","Faculty of Environmental Studies",222,"Environmental Studies","Degree (minor/major, certificate)","BES, Undergraduate Certificates","Gail Fraser","Noël Sturgeon","Bachelor"
"AC0100",5.53,4.7,"Academic","Env Studies","Faculty of Environmental Studies",222,"Environmental Studies","Graduate Degree","MES","Justin Podur","Noël Sturgeon","Master"
"AC0110",6.05,5.3,"Academic","Env Studies","Faculty of Environmental Studies",222,"Environmental Studies","Graduate Degree","PhD","Justin Podur","Noël Sturgeon","PhD"
"AC0130",5.1,4.29,"Academic","Fine Arts","Dance",801,"Dance","Degree (minor/major, certificate)","BA","Claire Wootten","Shawn Brixey","Bachelor"
"AC0140",5.69,4.79,"Academic","Fine Arts","Dance",801,"Dance","Degree (minor/major, certificate)","BFA","Claire Wootten","Shawn Brixey","Bachelor"
"AC0150",5.26,5.09,"Academic","Fine Arts","Dance",801,"Dance","Graduate Degree","MFA","Darcey Callison","Shawn Brixey","Master"
"AC0160",4.64,4.62,"Academic","Fine Arts","Dance",801,"Dance","Graduate Degree","MA","Claire Wooten","Shawn Brixey","Master"
"AC0170",4.73,5.21,"Academic","Fine Arts","Dance",801,"Dance Studies","Graduate Degree","PhD","Claire Wooten","Shawn Brixey","PhD"
"AC0190",6.34,6.17,"Academic","Fine Arts","Design",803,"Design","Degree (minor/major, certificate)","BDes","Angela Norwood","Shawn Brixey","Bachelor"
"AC0200",5.44,5.5,"Academic","Fine Arts","Design",803,"Design","Graduate Degree","MDes","David Gelb","Shawn Brixey","Master"
"AC0220",5.51,5.19,"Academic","Fine Arts","Digital Media",804,"Digital Media","Degree (minor/major)","BA","Don Sinclair","Shawn Brixey","Bachelor"
"AC0240",5.06,6.51,"Academic","Fine Arts","Film",805,"Film","Degree (minor/major)","BA","John McCullough","Shawn Brixey","Bachelor"
"AC0250",6.42,4.79,"Academic","Fine Arts","Film",805,"Film","Degree (minor/major)","BFA","John McCullough","Shawn Brixey","Bachelor"
"AC0260",6.42,5.7,"Academic","Fine Arts","Film",805,"Film","Graduate Degree","MFA","John Greyson","Shawn Brixey","Master"
"AC0270",5.44,5.9,"Academic","Fine Arts","Film",805,"Cinema & Media Studies","Graduate Degree","MA","Brenda Longfellow","Shawn Brixey","Master"
"AC0280",5.8,5.92,"Academic","Fine Arts","Film",805,"Cinema & Media Studies","Graduate Degree","PhD","Brenda Longfellow","Shawn Brixey","PhD"
"AC0300",6.78,7.12,"Academic","Fine Arts","Music",806,"Music","Degree (minor/major)","BA","Bill Thomas","Shawn Brixey","Bachelor"
"AC0310",7.04,8.1,"Academic","Fine Arts","Music",806,"Music","Degree (minor/major)","BFA","Bill Thomas","Shawn Brixey","Bachelor"
"AC0320",6.23,6.3,"Academic","Fine Arts","Music",806,"Music","Graduate Degree","MA","Michael Coghlan","Shawn Brixey","Master"
"AC0330",5.91,5.5,"Academic","Fine Arts","Music",806,"Music","Graduate Degree","PhD","Michael Coghlan","Shawn Brixey","PhD"
"AC0350",5.8,5.92,"Academic","Fine Arts","Theatre",16800,"Theatre","Degree (minor/major)","BA","Teresa Przybylski","Shawn Brixey","Bachelor"
"AC0360",5.8,5.92,"Academic","Fine Arts","Theatre",16800,"Theatre","Degree (minor/major)","BFA","Teresa Przybylski","Shawn Brixey","Bachelor"
"AC0370",6.05,5.71,"Academic","Fine Arts","Theatre",16800,"Theatre","Graduate Degree","MFA","Eric Armstrong","Shawn Brixey","Master"
"AC0390",5.79,5.68,"Academic","Fine Arts","Theatre",16800,"Theatre and Performance Studies","Graduate Degree","MA","Marlis Schweitzer","Shawn Brixey","Master"
